rank,song_last_7_days,song_last_30_days,song_last_120_days
1,Addicted,Lệ Ngang Trời,Cưới Vợ Trả Góp (feat. Tuấn Cry & 24k.Right)
2,[Raw recording] Record playback noise 01 (3 minutes),Họa Sĩ Tồi (XEON REMIX #1),Bông Hoa Nở Muộn
3,My Love,[Raw recording] Record playback noise 01 (3 minutes),พี่ชอบหนูที่สุดเลย (Speed Up)
4,hello em có khỏe không,Nocturne (Chopin) calm piano solo,argentai
5,Ai Ngoài Anh,NO BATIDÃO,Chuyến Xe Cuộc Đời - Remix
6,Event Horizon (STEM percussion),蜜桃物语,Pump
7,Vinagang,A Day in My Life,Sequência da Botação
8,Một Cuộc Tình Dối Trá (Remix),Chất Gây Hại,Tuyết Yêu Thương
9,Quiet Music,Addicted,Cute
10,蜜桃物语,Kìa Tết Đang Sang,Uplalenxuhuong
11,Behind Clouds (STEM Bass),Event Horizon (STEM percussion),BELONG TO ME FUNK (Slowed)
12,Healing music of love frequency 528Hz(1288586),Ai Ngoài Anh,Funny
13,GOZALO,Future,Cadelinha De Madame (Remix)
14,Medusa,Năm Tháng Hữu Tình(Remix),Aesthetic
15,Ballerina,Một Cuộc Tình Dối Trá (Remix),Nắng Dưới Chân Mây
16,Có Mình Và Ta - Ld Remix,No One Noticed (Extended Spanish),Lệ Ngang Trời
17,sleepwalking,I'll Never Let You Go,UPTOTRENDING
18,PHONK BRASILEIRO FRESCO,Vinagang,Nắng Dưới Chân Mây
19,My Life,Dj Mashup X Drop Jj Full Bass Beat,SLAY!
20,Nhớ Mãi Chuyến Đi Này,AURA,Sequência da Botação (Slowed)
21,Dancing With Your Ghost,Western Music: Arizona Dreaming,Sky Painted Blue
22,Hate Me,Dj Thailand Viral Sound Cewek Pargoy,Không Khuất Phục - Remix Vinahouse
23,Danger,Vlog ・ Stylish city pop(1275391),Thương Thì Thôi ( Ciray Remix #2 )
24,Happy All the Time,Quiet Music,Trả Lại Thanh Xuân Cho Em - Remix
25,LOS VOLTAJE,Leo Season is Here!-Backing Track,Sad and Horny
26,AURA,Túc Duyên (Zinz Remix),沉溺（你让我的心不再结冰）
27,Vùng Ký Ức,Simple Life,CHANEL
28,Notícia Urgente!,Lên Xe Đi Em Ơi (Freak D Remix),Không Buông (Short)
29,loveisgone (Cover slander),My Love,NGƯỜI YÊU CHƯA SINH RA
30,AURA (Super Slowed),Khoái Remix - Nhạc Này Nó Gọi Là Căng,PASSO BEM SOLTO (Slowed)
31,NO FEAR!,Behind Clouds (STEM Bass),Sunrise
32,Ladyfingers - piano version,My Life,Epic Music(863502)
33,On My Way （remix）,Bright Night Sky (Vox),Chillchill
34,NGƯỜI YÊU CHƯA SINH RA,i want it i got it,Sounds of Pleasure
35,sun and moon,[Animals and dishes] Cute BGM,AURA
36,Chopin Nocturne No. 2 Piano Playing,Food,Cắt Đôi Nỗi Sầu
37,慵懒轻松波萨诺瓦,Forever,Cánh Hoa Héo Tàn - Remix
38,Manifestation,This Is War,Sugar On My Tongue
39,SLAY ROCK!,GOZALO,Không Trọn Vẹn Nữa - Vq Remix Cut
40,You,ominous,MONTAGEM RUGADA
41,Com'dab (feat. Keblack & Naza),growth,Chạnh Lòng Thương Cô - Remix Vinahouse
42,美食 好吃 开心,Anh Đã Không Biết Cách Yêu Em,Hôn Vào Đây Đi
43,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],chẳng phải tình đầu sao đau đến thế,Pretty (Sped Up)
44,em là em bé iu (feat. Ngắn) [DJ AM Remix Short 1],Không Đẳng Cấp Không Tồn Tại,Nhân Duyên Trời Ban
45,ใจฉันตามเธอไป,"vlog, chill out, calm daily life(1370843)",NOW OR NEVER
46,Cứ Bước Đi - Minh Tường Remix,"Welp, Didn't Expect That",Walk Away
47,Không Say Không Về,Hate Me,Christmas Is Coming
48,Em Của Ngày Hôm Qua,Healing music of love frequency 528Hz(1288586),Beat Automotivo Tan Tan Tan Viral
49,Mây Và Núi,Because of You（小提琴版）,Cưới Chính
50,썸 (feat. 릴보이),Lazy Sunday,Little Things
51,No Hands (feat. Roscoe Dash & Wale),Just Keep Watching (From F1® The Movie),Muốn Cua Anh Làm Bồ
52,Em Khác Gì Hoa - Lofi Ver.,Có Mình Và Ta - Ld Remix,Đừng Để Tiền Rơi (Special Version)
53,Here's Your Perfect,sleepwalking,Lại Nhớ Em Rồi (Remix)
54,Cơn Mưa Cuối,Perfect,Smooth Strut (Syn)
55,你可爱的样子,Mortals,Powerful songs like action movie music
56,Closer (feat. Halsey),ULTRA MIAU MIAU,羽肿 - Windy Hill
57,Có Mình Và Ta - Sed Remix,Gì Vậy Trời - TikTok,Họa Sĩ Tồi (XEON REMIX #1)
58,Deep Thinking,Waiting,Mưa Của Trời Mây - Domino Remix
59,Hot Girl,Soft Music,So Easy (To Fall In Love)
60,Babel,Hẹn Lần Sau,GTA
61,Cục Vàng Của Anh,Ballerina,风吹过八千里
62,NEXT (Slowed),Over & Over,Kho Báu (#1)
63,DON`T STOP - Slowed++,take a moment to breathe.,MENTE MÁ (Ultra Slowed)
64,"24/7, 365",Pin Dự Phòng,50 Feet
65,Minuet,Phép Màu Ánh Sáng,tránh đường cho zai đẹp đi qua
66,Simple Love,,像我这样的人
67,Bounce Dat Ass,Big News,Pretty Little Baby
68,Montagem Nada Tropica,"L.Delibes, Sylvia - Pizzicato",OVERDRIVE
69,战曲,i think i'm addicted,スカーレット警察のゲットーパトロール24時 - RoughSketch Remix
70,Stealthy mischief(1088178),Let's Go!,Love My Friend
71,AL NACER! (Slowed),FUNK CRIMINAL (SLOWED),Very Sad
72,Có Không Giữ Mất Đừng Tìm (feat. Tấn Lợi),Epic Inspiration,伦敦地铁
73,좋은 하루 되세요,TRÓI EM LẠI (feat. Quang Hùng MasterD),蜜桃物语
74,Trái Tim Rực Rỡ - Ver 1 Remix,AM,Khuất Lối (Remix)
75,Cao ốc 20,Happy All the Time,Hãy Là Của Riêng Anh
76,一点点 (DJ停顿版),Blue Moon,MENTE MÁ
77,Die For You - Remix,Sun Is Shining,You (feat. Travis Scott)
78,Sao Anh Chưa Về Nhà,Hỏi Vợ Ngoại Thành,Con Còng Con Cua
79,Nom Nom Nom Nom Nom Nom Nom,清丶风（DiESi Remix）,AQUECIMENTO DO GW
80,Enchanted (Taylor's Version),Take My Mind,Mạnh Bà (Kai Remix)
81,Attention,Thuốc Đắng Vào Người Anh Lắc,cầm lấy con chó này
82,Le bruit du vent,Strawberry,Ải Hồng Nhan - EDM Remix
83,Beautiful Princess,Illegal,Monkeyshine-JP
84,Gifts To Your Future Self - Solo Guitar Version,Hush,Ghệ Đẹp - Remix
85,Yêu Nắm,Tết Là Tết - Remix,Ready
